time,iID,jID,tau,correlation
53,10,6,24,0.9090075483921636
53,10,7,4,0.8244498228249753
53,11,1,1,0.8191807433980837
53,11,4,1,0.9153485640060097
53,11,5,4,0.8009319623038849
53,11,12,24,0.9537722794169852
53,12,1,7,0.9410724337172104
53,12,2,1,0.8644417374276591
53,12,4,8,0.9719950556276747
53,12,7,30,0.7828477662308758
53,12,10,3,0.8232591380431538
53,12,11,19,0.9734959360705889
54,1,2,9,0.9152644439115476
54,1,4,19,0.817610909994096
54,1,11,11,0.7725869632916533
54,1,12,23,0.7732458241281547
54,2,6,12,0.7593834341622705
54,2,7,8,0.8301586724906519
54,4,1,27,0.8968197421070259
54,4,2,5,0.9545002616540589
54,4,10,7,0.9006327458695248
54,4,11,24,0.9431547833545945
54,4,12,18,0.8648649345964718
54,5,2,29,0.7206754028445505
54,5,6,10,0.9576934285103251
54,5,7,5,0.9613974964598286
54,5,10,31,0.8698936869815481
54,6,5,22,0.9315503535056118
54,6,7,10,0.8722090044008619
54,7,1,24,0.767983760920428
54,7,2,2,0.7365034255934831
54,7,4,10,0.8092654063775798
54,7,11,3,0.862285748329982
54,7,12,14,0.8988503672696113
54,8,9,16,0.9867942682635955
54,9,8,17,0.937095642978101
54,10,5,30,0.8755925896410552
54,10,6,24,0.9163315781671239
54,10,7,4,0.8270598507620177
54,11,1,1,0.844099858612497
54,11,4,1,0.9223011786414245
54,11,5,4,0.8224361332431265
54,11,12,24,0.9569749436390182
54,12,1,7,0.9404943992634435
54,12,2,1,0.8377346647620809
54,12,4,8,0.9730137921459496
54,12,10,3,0.7924140475722875
54,12,11,19,0.9744825603496795
55,1,2,9,0.916057548589984
55,1,4,19,0.8096706082620618
55,1,10,11,0.7401560009940533
55,1,11,11,0.8081873961563876
55,1,12,23,0.803626039750454
55,2,6,12,0.8004990493009084
55,2,7,8,0.8547264245416341
55,4,1,27,0.9097953287622863
55,4,2,5,0.954781787908561
55,4,10,7,0.8929252920155685
55,4,11,24,0.9473512608983083
55,4,12,18,0.8027560715526124
55,5,6,10,0.9580906939422985
55,5,7,5,0.9603152957651211
55,5,10,31,0.8853348234816245
